SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No,CompanyName,ResponsibleName
LS-07,EL,02-RJB2_3-2-L1-04-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62310,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-05-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62306,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-05-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62319,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-06-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62320,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L1-06-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62307,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-04-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62317,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-04-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62304,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-05-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62303,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-05-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62316,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-06-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62321,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-06-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62308,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-07-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62311,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-07-FJB01,Lighting Cable,A,IS BROKEN.,PL-62325,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L2-07-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62298,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-02-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62309,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-02-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62322,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-03-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62312,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-03-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62299,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-04-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62300,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-04-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62313,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-05-FJB01,Lighting Cable,B,CABLE FIXED SHALL BE DONE.,PL-62314,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,02-RJB2_3-2-L3-05-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62301,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-02,EL,02-SP-11,PAGING DEVICE_A,C,FULL BOLT DEVICE SHALL BE DONE,PL-54528,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-02,EL,02-SP-13,PAGING DEVICE_A,C,FULL BOLT DEVICE SHALL BE DONE,PL-54538,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-02,EL,02-SP-14,PAGING DEVICE_A,C,FULL BOLT DEVICE SHALL BE DONE,PL-54540,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-02,EL,02-SP-15,PAGING DEVICE_A,C,FULL BOLT DEVICE SHALL BE DONE,PL-54542,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-EJB2-2-L3-01,Lighting Fixture,A,THIS FIXTURE SHALL BE INSTALL,PL-53072,نیرو آرا اندیش,پانچ|هولد مدارک
LS-11,EL,03-EJB2-2-L3-05,Lighting Fixture,C,آچارکشي درب فيکچر,PL-58856,نیرو آرا اندیش,پانچ|هولد کیسون
LS-11,EL,03-EJB2-2-L3-05,Lighting Fixture,C,هدبوشن,PL-58950,نیرو آرا اندیش,پانچ|هولد مدارک
LS-11,EL,03-EJB2-2-L3-05,Lighting Fixture,C,زاويه فيکچر,PL-59044,نیرو آرا اندیش,پانچ|هولد کیسون
LS-11,EL,03-EJB2-2-L3-05,Lighting Fixture,B,ويبره فيکچر,PL-59138,نیرو آرا اندیش,پانچ|هولد کیسون
LS-11,EL,03-EJB2-2-L3-05,Lighting Fixture,C,کپ فيکچر EXIT,PL-59232,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,DOCUMENT FOR LIGHTING SYSTEM AREA-03 NOT COMPLETED.,PL-57529,نیرو آرا اندیش,پانچ|هولد مدارک
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,CAP S.S JB & LIGHTING NOT COMPLETED.,PL-57530,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,C,FULL BOLT JB & MAIN JB & SOCKET SHALL BE DONE.,PL-57533,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,C,TOUCH UP SUPPORT NOT COMPLETED.,PL-57534,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,تکميل نصب چراغ هاي روشنايي مطابق INCOMPLET ITEM,PL-57536,نیرو آرا اندیش,پانچ|هولد مدارک
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,تکميل نصب چراغ هاي اير کرافت به همراه کليه متعلقات,PL-57537,نیرو آرا اندیش,پانچ|هولد مدارک
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,تکميل نصب سوکت هاي تک فاز مطابق INCOMPLET ITEM,PL-57538,نیرو آرا اندیش,پانچ|هولد مدارک
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,تکميل کابل کشي روشنايي مطابق INCOMPLET ITEM,PL-57539,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,الاين کردن چراغ هاي روشنايي,PL-57540,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,نصب CAP مربوط به چراغ ها و JB هاي روشنايي,PL-57541,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,A,بستن و سيل کردن درب هاي چراغ ها و JB ها,PL-57542,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,C,تکميل و ازبيلت مدارک,PL-57543,نیرو آرا اندیش,پانچ|هولد مدارک
LS-08,EL,03-JB2_1-2-L1-04,Lighting Fixture,B,LIGHTING ANGLE HEED ADJUSTMENT.,PL-57535,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L1-01,Socket Outlet,B,FIXTURE SHALL BE FIXED,PL-55022,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L1-01,Socket Outlet,C,FULL BOLT JB SHALL BE DONE,PL-55015,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L1-01,Socket Outlet,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55057,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L1-02,Socket Outlet,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55055,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L1-02,Socket Outlet,C,FULL BOLT JB SHALL BE DONE,PL-55013,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L2-01,Socket Outlet,C,FULL BOLT JB SHALL BE DONE,PL-55014,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L2-01,Socket Outlet,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55056,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L2-02,Socket Outlet,C,FULL BOLT JB SHALL BE DONE,PL-55012,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L2-02,Socket Outlet,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55054,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L3-01,Socket Outlet,C,FULL BOLT JB SHALL BE DONE,PL-55016,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-RJB1_1-1-L3-01,Socket Outlet,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55058,نیرو آرا اندیش,پانچ|هولد کیسون
LS-08,EL,03-SJB1-3-18(LS-08),Lighting Fixture,C,آچارکشي درب فيکچر,PL-58806,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-03,EL,03-SP-05,PAGING DEVICE_A,A,SUPPORT IS DAMAGE & SHALL BE CURRECT INSTALL.,PL-51902,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-03,EL,03-SP-09,PAGING DEVICE_A,A,SUPPORT IS DAMAGE & SHALL BE CURRECT INSTALL.,PL-51905,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-EJB1_2-3-L1-01,Lighting Fixture,C,زاويه چراغ هاي ابري شده در نقشه اصلاح شود,PL-58350,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-EJB1_2-3-L1-01,Lighting Fixture,B,فيکس محل کانکشن فيکچر,PL-58416,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11561,نیرو آرا اندیش,پانچ|هولد مدارک
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11556,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11557,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11562,نیرو آرا اندیش,پانچ|هولد مدارک
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11563,نیرو آرا اندیش,پانچ|هولد مدارک
TEL-04,EL,04-IS-03,TELECOM DEVICE(A),A,BACON SHOULD BE INSTALL.,PL-31348,نیرو آرا اندیش,پانچ|هولد مدارک
LS-11,EL,04-JB1_1-3-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09166,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB1-3-L2-08-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11555,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB1-3-L2-08-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11560,نیرو آرا اندیش,پانچ|هولد مدارک
LS-09,EL,04-JB1-3-L3-07-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11554,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB1-3-L3-07-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11559,نیرو آرا اندیش,پانچ|هولد مدارک
LS-09,EL,04-JB2-4-L1-02,Lighting Fixture,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55050,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L1-02,Lighting Fixture,B,TAG FIXTURE SHALL BE INSTALL,PL-55003,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L1-02,Lighting Fixture,C,FULL BOLT JB SHALL BE DONE,PL-54988,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L2-02,Lighting Fixture,C,FULL BOLT JB SHALL BE DONE,PL-54991,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L2-02,Lighting Fixture,B,TAG FIXTURE SHALL BE INSTALL,PL-55006,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L2-02,Lighting Fixture,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55053,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L3-01,Lighting Fixture,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55052,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L3-01,Lighting Fixture,B,TAG FIXTURE SHALL BE INSTALL,PL-55005,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-JB2-4-L3-01,Lighting Fixture,C,FULL BOLT JB SHALL BE DONE,PL-54990,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1_1-1-L1-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62286,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1_1-1-L2-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62285,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1_1-1-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11587,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1_1-1-L3-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62292,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L1-03-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62297,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L1-04-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62294,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L1-05-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62282,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L2-03-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62296,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L2-04-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62291,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L3-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62293,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L3-02-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62287,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB1-1-L3-03-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62289,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB2-2-L1-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62283,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB2-2-L1-02-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62295,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,04-RJB2-2-L2-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62281,نیرو آرا اندیش,پانچ|هولد کیسون
LS-07,EL,04-RJB2-2-L2-01-FJB01,Lighting Cable,B,S.S tags shall be install.,PL-23573,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB2-2-L2-02-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62288,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB2-2-L3-01-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62284,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-RJB2-2-L3-02-FJB01,Lighting Cable,B,CABLE TAG NO (S.S) SHALL BE INSTALL.,PL-62290,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-SJB1-4-02,Lighting Fixture,C,FULL BOLT JB SHALL BE DONE,PL-54989,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-SJB1-4-02,Lighting Fixture,B,TAG FIXTURE SHALL BE INSTALL,PL-55004,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-SJB1-4-02,Lighting Fixture,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55051,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-SJB1-4-09,Lighting Fixture,A, S.S CAP FOR JB SHALL BE INSTALL(NOT COMPLETE),PL-55049,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-SJB1-4-09,Lighting Fixture,B,TAG FIXTURE SHALL BE INSTALL,PL-55002,نیرو آرا اندیش,پانچ|هولد کیسون
LS-09,EL,04-SJB1-4-09,Lighting Fixture,C,FULL BOLT JB SHALL BE DONE,PL-54987,نیرو آرا اندیش,پانچ|هولد کیسون
TEL-04,EL,04-SP-03,PAGING DEVICE_A,B,ASBUILT SHALL BE DONE.,PL-49496,نیرو آرا اندیش,پانچ|هولد مدارک
LS-10,EL,05-EJB1_1-5-L1-01,Lighting Fixture,C,فيکس درب JB,PL-57372,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB2_1-6-L1-03,Lighting Fixture,C,فيکس لايتينگ پل,PL-58574,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB2_1-6-L1-03,Lighting Fixture,B,ويبره,PL-58651,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB2_1-6-L1-03,Lighting Fixture,C,هدبوشن,PL-58728,نیرو آرا اندیش,پانچ|هولد مدارک
LS-10,EL,05-EJB3-7-L1-04,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06103,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB3-7-L1-05,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06047,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB3-7-L2-03,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06111,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB3-7-L2-04,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06087,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-EJB3-7-L3-04,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06063,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L1-05,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-05987,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L1-06,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06123,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L1-09,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06095,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L2-04,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06107,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L2-05,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-05979,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L2-10,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06055,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L3-01,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06127,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L3-06,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-05995,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-JB3-7-L3-11,Lighting Fixture,B,Tag no(s.s) shall be install.,PL-06043,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L1-01-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60724,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L1-02-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60731,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L2-01-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60725,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L2-02-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60728,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L2-03-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60720,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L3-01-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60732,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_1-3-L3-02-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60726,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_2-3-L1-08-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60713,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_2-3-L2-03-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60714,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_2-3-L2-09-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60715,نیرو آرا اندیش,پانچ|هولد کیسون
LS-10,EL,05-RJB1_2-3-L2-10-FJB01,Lighting Cable,C,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-60737,نیرو آرا اندیش,پانچ|هولد کیسون
